Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code,Email,Parent
DC326321,Comfort Inn/San Diego Miramar,9350 Kearny Mesa Rd,,,San Diego,CA,92126,8138929750,1011,91,1011,,9001256
DC12492553,HSP Central Sample Acct/674,101 Riverview Pkwy,,,Santee,CA,92071,8138929750,1011,91,1011,,9001256
DC12491836,HSP Northeast Sample Acct/673,101 Riverview Pkwy,,,Santee,CA,92071,8138929750,1011,91,1011,,9001256
DC12493340,HSP Southeast Sample Acct/670,101 Riverview Pkwy,,,Santee,CA,92071,8138929750,1011,91,1011,,9001256
DC197203,Motel 6/Carlsbad South/M69639,750 Raintree Dr,,,Carlsbad,CA,92011,8138929750,1011,91,1011,,9001256
DC210120,Quality  Inn and Suites/Oceanside,3170 Vista Way,,,OCEANSIDE,CA,92056,8138929750,1011,91,1011,,9001256
DC6185504,Comfort Inn/Murrieta,41005 California Oaks Rd,,,Murrieta,CA,92562,8138929750,1011,91,1011,,9001256
DC247120,Motel 6/Temecula/M69641,41900 Moreno Rd,,,Temecula,CA,92590,8138929750,1011,91,1011,,9001256
DC47845,Motel 6/Palm Springs East/M69325,595 E Palm Canyon Dr,,,Palm Springs,CA,92264,8138929750,1011,91,1011,,9001256
DC3776078,Mountain View Villas,"78000 Betty Barker Way, Ofc",,,Indian Wells,CA,92210,8138929750,1011,91,1011,,9001256
DC5984840,Comfort Inn/El Centro,2354 S 4th St,,,El Centro,CA,92243,8138929750,1011,91,1011,,9001256
DC334221,Quality Inn/Blythe,600 W Donlon St,,,Blythe,CA,92225,8138929750,1011,91,1011,,9001256
DC6119300,Candlewood Suites/Yuma,2036 S Avenue 3 E,,,Yuma,AZ,85365,8138929750,1011,91,1011,,9001256
DC276556,Holiday Inn Exp San Fran Airport So,1250 Old Bayshore Hwy,,,Burlingame,CA,94010,8138929750,1011,91,1011,,9001256
DC489725,Travelodge/Mill Valley,"707 Redwood Hwy Frontage Rd, Ofc",,,Mill Valley,CA,94941,8138929750,1011,91,1011,,9001256
DC5911552,Village At The Crossing,"1101 National Ave, Ofc",,,San Bruno,CA,94066,8138929750,1011,91,1011,,9001256
DC323418,La Quinta San Francisco Airport Nor,20 Airport Blvd,,,South San Francisco,CA,94080,8138929750,1011,91,1011,,9001256
DC1194071,SureStay/Ukiah,1720 N State St,,,Ukiah,CA,95482,8138929750,1011,91,1011,,9001256
DC6040388,Hampton Inn/Ste Rohnert Park,6248 Redwood Dr,,,Rohnert Park,CA,94928,8138929750,1011,91,1011,,9001256
DC234075,SUPER EIGHT/SANTA CRUZ,338 Riverside Ave,,,Santa Cruz,CA,95060,8138929750,1011,91,1011,,9001256
DC3892867,COMFORT INN/SANTA CRUZ,314 Riverside Ave,,,Santa Cruz,CA,95060,8138929750,1011,91,1011,,9001256
DC1042178,Quality Inn/Santa Cruz,1101 Ocean St,,,Santa Cruz,CA,95060,8138929750,1011,91,1011,,9001256
DC12140,Comfort Inn/Santa Cruz,110 Plymouth St,,,Santa Cruz,CA,95060,8138929750,1011,91,1011,,9001256
DC1578027,Hilton Santa Cruz/Scotts Valley,6001 La Madrona Dr,,,Scotts Valley,CA,95060,8138929750,1011,91,1011,,9001256
DC1357417,Clarion/Pacific Grove,1038 Lighthouse Ave,,,Pacific Grove,CA,93950,8138929750,1011,91,1011,,9001256
DC6073274,Creekside Inn,"3400 El Camino Real, Ofc",,,Palo Alto,CA,94306,8138929750,1011,91,1011,,9001256
DC308779,Motel 6/Sunnyvale/South/M69329,806 W Ahwanee Ave,,,Sunnyvale,CA,94085,8138929750,1011,91,1011,,9001256
DC308816,Motel 6/Oakland/Embarcader/M69379,1801 Embarcadero,,,Oakland,CA,94606,8138929750,1011,91,1011,,9001256
DC178021,Motel 6/Hayward/M69349,30155 Industrial Pkwy SW,,,Hayward,CA,94544,8138929750,1011,91,1011,,9001256
DC3296493,Best Western Plus/Danville,803 Camino Ramon,,,DANVILLE,CA,94526,8138929750,1011,91,1011,,9001256
DC5974095,Four Points/Pleasanton,5115 Hopyard Rd,,,Pleasanton,CA,94588,8138929750,1011,91,1011,,9001256
DC133170,Surestay/Livermore,1000 Airway Blvd,,,Livermore,CA,94551,8138929750,1011,91,1011,,9001256
DC327389,Comfort Inn/Gilroy,8435 San Ysidro Ave,,,Gilroy,CA,95020,8138929750,1011,91,1011,,9001256
DC4310429,Quality Inn/Tracy,3511 N Tracy Blvd,,,Tracy,CA,95376,8138929750,1011,91,1011,,9001256
DC1242422,Hampton Inn/Six Flags,1596 Fairgrounds Dr,,,Vallejo,CA,94589,8138929750,1011,91,1011,,9001256
DC326130,Motel 6/Contra Costa/M69715,3999 Alhambra Ave,,,Martinez,CA,94553,8138929750,1011,91,1011,,9001256
DC6060351,Clarion Hotel/Concord,1050 Burnett Ave,,,Concord,CA,94520,8138929750,1011,91,1011,,9001256
DC4027946,Motel 6/Fairfield/M64563,4376 Central Pl,,,Fairfield,CA,94534,8138929750,1011,91,1011,,9001256
DC6120273,SureStay by BW/Fairfield,3331 N Texas St,,,Fairfield,CA,94533,8138929750,1011,91,1011,,9001256
DC71052,Econo Lodge/Woodland,53 W Main St,,,Woodland,CA,95695,8138929750,1011,91,1011,,9001256
DC5886487,Comfort Inn and Suites/Galt,10380 Twin Cities Rd,,,Galt,CA,95632,8138929750,1011,91,1011,,9001256
DC3300805,Rodeway Inn / Sacramento,25 Howe Ave,,,Sacramento,CA,95826,8138929750,1011,91,1011,,9001256
DC16695147,TownePlace Suites/Rcho Cordova,11212 Point East Dr,,,Rancho Cordova,CA,95742,8138929750,1011,91,1011,,9001256
DC3340584,Quality Inn/Yuba City,965 Gray Ave,,,Yuba City,CA,95991,8138929750,1011,91,1011,,9001256
DC5785596,Comfort Suites/Maryville,1034 N Beale Rd,,,Marysville,CA,95901,8138929750,1011,91,1011,,9001256
DC35039,Motel 6/Buellton/M69327,333 McMurray Rd,,,Buellton,CA,93427,8138929750,1011,91,1011,,9001256
DC325255,Best Western Plus/Morro Bay,250 Pacific St,,,Morro Bay,CA,93442,8138929750,1011,91,1011,,9001256
DC15611721,Best Western Plus/Coalinga Inn,1786 Jayne Ave,,,Coalinga,CA,93210,8138929750,1011,91,1011,,9001256
DC6173367,Holiday Inn Exp/Lebec,612 Wainwright Ct,,,Lebec,CA,93243,8138929750,1011,91,1011,,9001256
DC664002,COMFORT INN/SANTA MONICA,2815 Santa Monica Blvd,,,Santa Monica,CA,90404,8138929750,1011,91,1011,,9001256
DC18296821,Sirtaj Hotel,120 S Reeves Dr,,,Beverly Hills,CA,90212,8138929750,1011,91,1011,,9001256
DC177999,Motel 6/Inglewood/M69623,5101 W Century Blvd,,,Inglewood,CA,90304,8138929750,1011,91,1011,,9001256
DC17393016,Red Roof Inn/Wilmington,1023 W Pacific Coast Hwy,,,Wilmington,CA,90744,8138929750,1011,91,1011,,9001256
DC17323026,WoodSpring Suites/Bellflower,8827 Artesia Blvd,,,Bellflower,CA,90706,8138929750,1011,91,1011,,9001256
DC346980,TRAVELODGE/LYNWOOD,11401 Long Beach Blvd,,,Lynwood,CA,90262,8138929750,1011,91,1011,,9001256
DC14591587,Villa Nueva,"668 S Ferris Ave, # 2",,,Los Angeles,CA,90022,8138929750,1011,91,1011,,9001256
DC1302822,Studio City Court Yard Hotel,12933 Ventura Blvd,,,Studio City,CA,91604,8138929750,1011,91,1011,,9001256
DC4703790,Best Western Plus/Palmdale,600 W Palmdale Blvd,,,Palmdale,CA,93551,8138929750,1011,91,1011,,9001256
DC5886940,Motel 6/Delano/M64970,405 Cecil Ave,,,Delano,CA,93215,8138929750,1011,91,1011,,9001256
DC339793,Rodeway Inn/Delano,2211 Girard St,,,Delano,CA,93215,8138929750,1011,91,1011,,9001256
DC6058750,Hillstone Inn/Tulare,1183 N Blackstone St,,,Tulare,CA,93274,8138929750,1011,91,1011,,9001256
DC5623257,Comfort Inn and Suites/Three Rivers,40820 Sierra Dr,,,Three Rivers,CA,93271,8138929750,1011,91,1011,,9001256
DC6161794,Candlewood Suites/Turlock,1000 Powers Ct,,,Turlock,CA,95380,8138929750,1011,91,1011,,9001256
DC16483354,Best Western/Colfax,801 S Auburn St,,,Colfax,CA,95713,8138929750,1011,91,1011,,9001256
DC121840,Club Tahoe Resort Coa/Rci,914 Northwood Blvd,,,Incline Village,NV,89451,8138929750,1011,91,1011,,9001256
DC39946,Motel 6/Carson City/M64679,2749 S Carson St,,,Carson City,NV,89701,8138929750,1011,91,1011,,9001256
DC475811,Heidelberg Inn and Resort,85 Lake View Dr,,,JUNE LAKE,CA,93529,8138929750,1011,91,1011,,9001256
DC339094,Quality Inn/Bishop,150 E Elm St,,,Bishop,CA,93514,8138929750,1011,91,1011,,9001256
DC2066196,SUPER EIGHT/BISHOP,535 S Main St,,,Bishop,CA,93514,8138929750,1011,91,1011,,9001256
DC166725,Motel 6/Fort Bragg/M64714,400 S Main St,,,Fort Bragg,CA,95437,8138929750,1011,91,1011,,9001256
DC5991414,Comfort Inn/Red Bluff,90 Sale Ln,,,Red Bluff,CA,96080,8138929750,1011,91,1011,,9001256
DC6075007,Quality Inn/Chico,715 Main St,,,Chico,CA,95928,8138929750,1011,91,1011,,9001256
DC15632610,Holiday Inn Exp and Suites/Chico,"2074 E 20th St, Ofc",,,Chico,CA,95928,8138929750,1011,91,1011,,9001256
DC1186025,Rodeway Inn/Chico,1717 Park Ave,,,Chico,CA,95928,8138929750,1011,91,1011,,9001256
DC16191278,Comfort Suites/Redding,1195 Grand Ave,,,Redding,CA,96003,8138929750,1011,91,1011,,9001256
DC17129060,Lassen West Village LLC,PO PO Box 1565,,,Westwood,CA,96137,8138929750,1011,91,1011,,9001256
DC1176739,Eskaton Washington Manor,"1020 Kingston Rd, Ofc",,,Mount Shasta,CA,96067,8138929750,1011,91,1011,,9001256
DC374179,Quality Inn/Klamath Falls,4061 S 6th St,,,Klamath Falls,OR,97603,8138929750,1011,91,1011,,9001256
DC309029,Motel 6/Klamath Fl/M69459,5136 S 6th St,,,Klamath Falls,OR,97603,8138929750,1011,91,1011,,9001256
DC86828,Motel 6/Grants Pass/M69257,1800 NE 7th St,,,Grants Pass,OR,97526,8138929750,1011,91,1011,,9001256
DC1323743,Sleep Inn and Suites/Roseburg,2855 NW Edenbower Blvd,,,Roseburg,OR,97471,8138929750,1011,91,1011,,9001256
DC6113171,Best Western Plus/Sutherlin,150 Myrtle St,,,Sutherlin,OR,97479,8138929750,1011,91,1011,,9001256
DC5974165,Comfort Inn/Medford,60 E Stewart Ave,,,Medford,OR,97501,8138929750,1011,91,1011,,9001256
DC12660903,Rodeway Inn/Medford,901 S Riverside Ave,,,Medford,OR,97501,8138929750,1011,91,1011,,9001256
DC6119572,Clarion Pointe/Medford,1501 S Pacific Hwy,,,Medford,OR,97501,8138929750,1011,91,1011,,9001256
DC81779,Motel 6/Medford S/M69256,950 Alba Dr,,,Medford,OR,97504,8138929750,1011,91,1011,,9001256
DC3286214,Comfort Inn North/Medford,2280 Biddle Rd,,,Medford,OR,97504,8138929750,1011,91,1011,,9001256
DC81804,Motel 6/Medford N/M69462,2400 Biddle Rd,,,Medford,OR,97504,8138929750,1011,91,1011,,9001256
DC70485,Motel 6/Eugene South/M69322,3690 Glenwood Dr,,,Eugene,OR,97403,8138929750,1011,91,1011,,9001256
DC3756171,Econo Lodge/Corvallis,935 NW Garfield Ave,,,Corvallis,OR,97330,8138929750,1011,91,1011,,9001256
DC309154,Motel 6/Springfield/M69461,3752 International Ct,,,Springfield,OR,97477,8138929750,1011,91,1011,,9001256
DC2068166,Comfort Inn/Salem,1775 Freeway Ct NE,,,Salem,OR,97301,8138929750,1011,91,1011,,9001256
DC15887417,Holiday Inn Exp/Suites/Bend South,61070 S Highway 97,,,Bend,OR,97702,8138929750,1011,91,1011,,9001256
DC378885,Comfort Inn/Suites/Susanville,"3015 Riverside Dr, Ofc",,,Susanville,CA,96130,8138929750,1011,91,1011,,9001256
DC13699782,Silver Sage at Neil,"3870 Neil Rd, Ofc",,,Reno,NV,89502,8138929750,1011,91,1011,,9001256
DC6052861,Comfort Inn and Suites/Reno Airport,1250 E Plumb Ln,,,Reno,NV,89502,8138929750,1011,91,1011,,9001256
DC38894,Motel 6/Reno Evnts Ctr/M64744,866 N Wells Ave,,,Reno,NV,89512,8138929750,1011,91,1011,,9001256
DC6002723,Econo Lodge/Fallon,70 E Williams Ave,,,Fallon,NV,89406,8138929750,1011,91,1011,,9001256
DC16579530,Candlewood Suites,460 E Winnemucca Blvd,,,Winnemucca,NV,89445,8138929750,1011,91,1011,,9001256
DC309039,Motel 6/Buena Park/M69380,7051 Valley View St,,,Buena Park,CA,90620,8138929750,1011,91,1011,,9001256
DC4320553,The Buena Park Hotel and Suites,7555 Beach Blvd,,,Buena Park,CA,90620,8138929750,1011,91,1011,,9001256
DC250130,Motel 6/Rosemead/M69619,1001 San Gabriel Blvd,,,Rosemead,CA,91770,8138929750,1011,91,1011,,9001256
DC6090818,Quality Inn/Suites Anaheim at the P,1166 W Katella Ave,,,Anaheim,CA,92802,8138929750,1011,91,1011,,9001256
DC309115,Motel 6/San Dimas/M69622,502 W Arrow Hwy,,,San Dimas,CA,91773,8138929750,1011,91,1011,,9001256
DC6184493,Candlewood Suites/Ontario,1818 E Holt Blvd,,,Ontario,CA,91761,8138929750,1011,91,1011,,9001256
DC17076402,Everhome Suites/Corona,1961 Foothill Pkwy,,,Corona,CA,92881,8138929750,1011,91,1011,,9001256
DC5917390,Magnolia Garden Apts,"8507 Magnolia Ave, Ofc",,,Riverside,CA,92504,8138929750,1011,91,1011,,9001256
DC15878273,Quality Inn/Riverside,1590 University Ave,,,Riverside,CA,92507,8138929750,1011,91,1011,,9001256
DC17322998,WoodSpring Suites/Moreno Valley,24455 Hemlock Ave,,,Moreno Valley,CA,92557,8138929750,1011,91,1011,,9001256
DC15823099,Woodspring Suites/Colton,2050 W Valley Blvd,,,Colton,CA,92324,8138929750,1011,91,1011,,9001256
DC17040996,Candlewood Suites/Loma Linda,10372 Richardson St,,,Loma Linda,CA,92354,8138929750,1011,91,1011,,9001256
DC1753148,Supe Eight / Redlands,1160 Arizona St,,,Redlands,CA,92374,8138929750,1011,91,1011,,9001256
DC453501,Motel 6/Palm Springs North/M69624,63950 20th Avenue,,,North Palm Springs,CA,92258,8138929750,1011,91,1011,,9001256
DC2066654,Courtyard Palm Desert,74895 Frank Sinatra Dr,,,Palm Desert,CA,92211,8138929750,1011,91,1011,,9001256
DC4195870,Quality Inn/Lone Pine,1920 S Main St,,,Lone Pine,CA,93545,8138929750,1011,91,1011,,9001256
DC5962404,Rodeway Inn and Suites/Needles,1195 3rd St,,,Needles,CA,92363,8138929750,1011,91,1011,,9001256
DC6057368,Comfort Inn/Saint George,138 E Riverside Dr,,,Saint George,UT,84790,8138929750,1011,91,1011,,9001256
DC5840291,Comfort Inn/Saint George North,974 N 2720 E,,,Saint George,UT,84790,8138929750,1011,91,1011,,9001256
DC345090,Hampton Inn/Saint George,53 N River Rd,,,Saint George,UT,84790,8138929750,1011,91,1011,,9001256
DC15494528,Comfort Inn and Stes/ Hurricane,45 N 2600 W,,,Hurricane,UT,84737,8138929750,1011,91,1011,,9001256
DC1030230,Quality Inn/Hurricane,43 N 2600 W,,,Hurricane,UT,84737,8138929750,1011,91,1011,,9001256
DC3208391,Rodeway Inn/Cedar City,323 S Main St,,,Cedar City,UT,84720,8138929750,1011,91,1011,,9001256
DC16481468,incline hospitality llc,521 e front street,,,battle mountain,NV,89820,8138929750,1011,91,1011,,9001256
DC4223776,Comfort Inn/Battle Mt,521 E Front St,,,Battle Mountain,NV,89820,8138929750,1011,91,1011,,9001256
DC4252378,Stay Express Inn/Elko,1349 Idaho St,,,Elko,NV,89801,8138929750,1011,91,1011,,9001256
DC1333998,Comfort Inn/Elko,2970 Idaho St,,,Elko,NV,89801,8138929750,1011,91,1011,,9001256
DC4756338,Sleep Inn Nampa,1315 Industrial Rd,,,Nampa,ID,83687,8138929750,1011,91,1011,,9001256
DC3620827,Rodeway Inn/Nampa,130 Shannon Dr,,,Nampa,ID,83687,8138929750,1011,91,1011,,9001256
DC6149279,Candlewood Suites/Boise,700 N Cole Rd,,,Boise,ID,83704,8138929750,1011,91,1011,,9001256
DC15791556,Tamarack Resort,780 Village Dr,,,Tamarack,ID,83615,8138929750,1011,91,1011,,9001256
DC6153394,Quality Inn and Suites/Non taxable,1910 Fillmore Ave N,,,Twin Falls,ID,83301,8138929750,1011,91,1011,,9001256
DC5391716,Days Inn/Surprise,12477 W Bell Rd,,,Surprise,AZ,85378,8138929750,1011,91,1011,,9001256
DC17883988,Woodspring Suites/Tolleson,605 N 99th Ave,,,Tolleson,AZ,85353,8138929750,1011,91,1011,,9001256
DC6125349,Comfort Suites/Glendale,9824 W Camelback Rd,,,Glendale,AZ,85305,8138929750,1011,91,1011,,9001256
DC6173410,GreenTree Hotel/Phoenix West,1500 N 51st Ave,,,Phoenix,AZ,85043,8138929750,1011,91,1011,,9001256
DC6096620,Urban League Manor,"4343 W Thomas Rd, Ofc",,,Phoenix,AZ,85031,8138929750,1011,91,1011,,9001256
DC4165417,Comfort Inn/Glendale,5511 W Bell Rd,,,Glendale,AZ,85308,8138929750,1011,91,1011,,9001256
DC1263558,Extended Stay Amer Pxn Chandler,14245 S 50th St,,,Phoenix,AZ,85044,8138929750,1011,91,1011,,9001256
DC1080906,Wingate by Wyndham/Chandler,7425 W Chandler Blvd,,,Chandler,AZ,85226,8138929750,1011,91,1011,,9001256
DC1293361,Comfort Inn/Chandler,7400 W Boston St,,,Chandler,AZ,85226,8138929750,1011,91,1011,,9001256
DC4287931,Sonesta Simply Sts/Phoenix Tempe,1335 W Baseline Rd,,,Tempe,AZ,85283,8138929750,1011,91,1011,,9001256
DC17835210,Woodspring Suites/Chandler,2050 E Germann Rd,,,Chandler,AZ,85286,8138929750,1011,91,1011,,9001256
DC342581,Days Inn/Mesa,333 W Juanita Ave,,,Mesa,AZ,85210,8138929750,1011,91,1011,,9001256
DC257482,Motel 6/Phoenix/Portland/M63354,2725 N Black Canyon Hwy,,,Phoenix,AZ,85009,8138929750,1011,91,1011,,9001256
DC1027708,Comfort Inn/Phoenix,1344 N 27th Ave,,,Phoenix,AZ,85009,8138929750,1011,91,1011,,9001256
DC14148199,Hilton Garden Inn Monroe/Phoenix,15 E Monroe St,,,Phoenix,AZ,85004,8138929750,1011,91,1011,,9001256
DC16429901,Acacia Heights,615 W Pierson St,,,Phoenix,AZ,85013,8138929750,1011,91,1011,,9001256
DC402247,HTS Phoenix-Metro-Dunlap Ave 3503,2102 W Dunlap Ave,,,Phoenix,AZ,85021,8138929750,1011,91,1011,,9001256
DC4287761,Sonesta Simply Suites Phoenix,11411 N Black Canyon Hwy,,,Phoenix,AZ,85029,8138929750,1011,91,1011,,9001256
DC1275906,Red Roof Inn/Phoenix,17222 N Black Canyon Hwy,,,Phoenix,AZ,85053,8138929750,1011,91,1011,,9001256
DC3256824,Days Inn/Phoenix,21636 N 26th Ave,,,Phoenix,AZ,85027,8138929750,1011,91,1011,,9001256
DC308444,Motel 6 /Tempe/M619469,1720 S Priest Dr,,,Tempe,AZ,85281,8138929750,1011,91,1011,,9001256
DC314481,La Quinta Inn/Tempe,911 S 48th St,,,Tempe,AZ,85281,8138929750,1011,91,1011,,9001256
DC15316021,Tru by Hilton/Gilbert,1950 S Santan Village Pkwy,,,Gilbert,AZ,85295,8138929750,1011,91,1011,,9001256
DC1059884,La Quinta Inn/Mesa,6530 E Superstition Springs Blvd,,,Mesa,AZ,85206,8138929750,1011,91,1011,,9001256
DC17032825,Woodspring Suite/Mesa,404 E Baseline Rd,,,Mesa,AZ,85204,8138929750,1011,91,1011,,9001256
DC6166760,Best Western/Sonora,750 W Shell Dr,,,Nogales,AZ,85621,8138929750,1011,91,1011,,9001256
DC16636942,Woodspring Suites/Tucson,1420 E Tucson Marketplace Blvd,,,Tucson,AZ,85713,8138929750,1011,91,1011,,9001256
DC3710848,Red Roof Inn/Tucson,1300 N Stone Ave,,,Tucson,AZ,85705,8138929750,1011,91,1011,,9001256
DC17409848,Ghost Ranch II,875 W Miracle Mile,,,Tucson,AZ,85705,8138929750,1011,91,1011,,9001256
DC1300085,Comfort Inn/Benson,630 S Village Loop,,,Benson,AZ,85602,8138929750,1011,91,1011,,9001256
DC6070029,Holiday Inn Exp/Las Cruces,2635 S Valley Dr,,,Las Cruces,NM,88005,8138929750,1011,91,1011,,9001256
DC6101962,Quality Inn/El Paso,949 Sunland Park Dr,,,El Paso,TX,79922,8138929750,1011,91,1011,,9001256
DC16374229,Extended Stay America El Paso West,990 Sunland Park Dr,,,El Paso,TX,79922,8138929750,1011,91,1011,,9001256
DC6102031,Comfort Suites/University/Las Cruce,2101 S Triviz Dr,,,Las Cruces,NM,88001,8138929750,1011,91,1011,,9001256
DC6102767,Sleep Inn/University/Las Cruces,2121 S Triviz Dr,,,Las Cruces,NM,88001,8138929750,1011,91,1011,,9001256
DC6187666,Comfort Suites/El Paso,1940 Airway Blvd,,,El Paso,TX,79925,8138929750,1011,91,1011,,9001256
DC12966745,Comfort Inn and Suites I-10 Airport,6645 Gateway Blvd W,,,El Paso,TX,79925,8138929750,1011,91,1011,,9001256
DC2919845,Quality Inn/Van Horn,1905 SW Frontage Rd,,,Van Horn,TX,79855,8138929750,1011,91,1011,,9001256
DC14334916,Candlewood Suites/Carlsbad,3711 San Jose Blvd,,,Carlsbad,NM,88220,8138929750,1011,91,1011,,9001256
DC4758909,Quality Inn/Roswell,3595 N Main St,,,Roswell,NM,88201,8138929750,1011,91,1011,,9001256
DC3743157,Hampton Inn/Roswell,3607 N Main St,,,Roswell,NM,88201,8138929750,1011,91,1011,,9001256
DC6171301,Candlewood Suites/Roswell,4 Military Heights Dr,,,Roswell,NM,88201,8138929750,1011,91,1011,,9001256
DC1028593,Quality Inn/Alpine,2401 E Highway 90,,,Alpine,TX,79830,8138929750,1011,91,1011,,9001256
DC713177,Quality Inn/Ozona,1307 Avenue A,,,Ozona,TX,76943,8138929750,1011,91,1011,,9001256
DC15761609,Woodspring Suites/Pecos,109 Lincoln St,,,Pecos,TX,79772,8138929750,1011,91,1011,,9001256
DC13330805,Candlewood Suites/Monahans,1902 S Stockton Ave,,,Monahans,TX,79756,8138929750,1011,91,1011,,9001256
DC3316659,Comfort Suites/Odessa,4801 E 50th St,,,Odessa,TX,79762,8138929750,1011,91,1011,,9001256
DC16301861,Candlewood Suites/Odessa,4001 Billy Hext Rd,,,Odessa,TX,79765,8138929750,1011,91,1011,,9001256
DC13555499,Candlewood Suites/Midland,110 West Longview Ave,,,Midland,TX,79701,8138929750,1011,91,1011,,9001256
DC3412684,Comfort Suites/Big Spring,1109 N Aylesford St,,,Big Spring,TX,79720,8138929750,1011,91,1011,,9001256
DC6022435,QUALITY INN/BIG SPRING,300 Tulane Ave,,,Big Spring,TX,79720,8138929750,1011,91,1011,,9001256
DC15705139,Days Inn/Lubbock Medical Center,4923 Marsha Sharp Fwy,,,Lubbock,TX,79407,8138929750,1011,91,1011,,9001256
DC5455070,Super 8/Lubbock,6015 45th St,,,Lubbock,TX,79407,8138929750,1011,91,1011,,9001256
DC15349920,Sure Stay Plus by Best Western/Lubb,3901 19th St,,,Lubbock,TX,79410,8138929750,1011,91,1011,,9001256
DC16695438,Woodspring Suites/Phoenix,24275 N 23rd Ave,,,Phoenix,AZ,85085,8138929750,1011,91,1011,,9001256
DC1053942,Days Inn/Prescott/Taxable,1290 White Spar Rd,,,Prescott,AZ,86303,8138929750,1011,91,1011,,9001256
DC16751533,Days Inn/Prescott/NonTax,1290 White Spar Rd,,,Prescott,AZ,86303,8138929750,1011,91,1011,,9001256
DC13589667,Rodeway Inn/Prescott/Tax,1225 E Gurley St,,,Prescott,AZ,86301,8138929750,1011,91,1011,,9001256
DC14786910,Days Inn/ChinoValley/NonTax,688 Fletcher Ct,,,Chino Valley,AZ,86323,8138929750,1011,91,1011,,9001256
DC6114318,Days Inn/ChinoValley/Taxable,688 Fletcher Ct,,,Chino Valley,AZ,86323,8138929750,1011,91,1011,,9001256
DC3394269,Americas Best Value Inn/Prescott Va,8383 E State Route 69,,,Prescott Valley,AZ,86314,8138929750,1011,91,1011,,9001256
DC3838520,Comfort Inn/Camp Verde,340 N Goswick Way,,,Camp Verde,AZ,86322,8138929750,1011,91,1011,,9001256
DC1059001,Hampton Inn/Flagstaff,2400 S Beulah Blvd,,,Flagstaff,AZ,86001,8138929750,1011,91,1011,,9001256
DC3273676,Quality Inn/Show Low,1941 E Deuce Of Clubs,,,Show Low,AZ,85901,8138929750,1011,91,1011,,9001256
DC17940458,Quality Inn,1941 E DEUCE OF CLUBS,,,SHOW LOW,AZ,85901,8138929750,1011,91,1011,,9001256
DC1309823,Rodeway Inn / Page,107 S Lake Powell Blvd,,,Page,AZ,86040,8138929750,1011,91,1011,,9001256
DC6093699,Quality Inn/Salina,1400 S State St,,,Salina,UT,84654,8138929750,1011,91,1011,,9001256
DC6016943,Comfort Inn/Green River,1975 E Main St,,,Green River,UT,84525,8138929750,1011,91,1011,,9001256
DC285722,Motel 6/Green River/M64678,1860 E Main St,,,Green River,UT,84525,8138929750,1011,91,1011,,9001256
DC16731953,Econo Lodge/Springerville,425 E Main Street,,,Springerville,AZ,85938,8138929750,1011,91,1011,,9001256
DC16805314,Howard Johnson/Springerville,242 E Main St,,,Springerville,AZ,85938,8138929750,1011,91,1011,,9001256
